phase,signal,dir,qe,qx,thr_e,thr_x,minh,maxh,stop,lev,killswitch,score,tot,dd,nt,wr,pf,sharpe,tot_train,tot_test,dd_test,cagr_test,pnl_2022,dd_2022,y2020,y2021,y2022,y2023,y2024,y2025,y2026,n_long,n_short
1,rn_p_down10,high,0.8,0.5,0.2283464566929034,0.13779527559053956,10,60,0.15,1.5,True,15.580575237740243,48.53813633760831,34.9902175301531,16,62.5,1.803268480734749,0.3949265724527781,-14.801145841615494,74.34288031793972,16.37344337716588,17.758608502632576,28.633154479159863,31.571639785064953,-33.76602283963444,0.0,28.633154479159863,6.22339813893511,25.344402436618864,30.942033716114103,0.0,,
1,rn_p_down10,high,0.8,0.5,0.2283464566929034,0.13779527559053956,10,60,,1.5,True,15.453665322121067,92.86539730323192,50.7706784410751,14,71.42857142857143,2.7660101093974188,0.5062430744437282,10.624188926736643,74.34288031793966,16.3734433771659,17.758608502632555,28.03673426941431,31.88891457411282,-13.599648133822495,0.0,28.03673426941431,6.22339813893511,25.344402436618864,30.94203371611406,0.0,,
1,rvi,high,0.8,0.3,58.24,29.89,5,60,0.08,1.0,True,14.939624982458707,39.808576796185434,32.6628889633667,7,42.857142857142854,2.3758456961525405,0.4028387687746708,-22.5113747132192,80.42464462204897,10.856904648054835,18.952077353872298,-12.188406915043936,32.53292109419619,-11.755814278631727,0.0,-12.188406915043936,0.0,20.868104817953935,52.1527692724526,0.0,,
1,rvi,high,0.8,0.3,58.24,29.89,5,60,0.05,1.0,True,14.919734618483142,39.697221495233,32.71652189803051,8,37.5,2.3378289777481216,0.40191757862439514,-22.573093167028937,80.42464462204897,10.856904648054831,18.952077353872298,-12.258347448015261,32.53019160440661,-11.755814278631727,0.0,-12.258347448015261,0.0,20.868104817953935,52.15276927245262,0.0,,
1,rvi,high,0.8,0.5,58.24,33.245000000000005,5,60,0.08,1.0,True,14.579929613540376,38.376220049652396,32.6628889633667,7,42.857142857142854,2.3440633082445173,0.3936774338782221,-22.5113747132192,78.57617106708273,10.856904648054835,18.592381984953967,-12.188406915043936,32.53292109419619,-11.755814278631727,0.0,-12.188406915043936,0.0,20.868104817953935,50.59394469555421,0.0,,
1,rn_p_down10,high,0.8,0.5,0.2283464566929034,0.13779527559053956,10,30,0.05,1.5,True,14.058700996397494,48.31588847195487,36.306483859304784,17,58.82352941176471,1.815476761351162,0.39240611948176585,-15.038169285280102,74.56767024001837,15.554862342902467,17.803239477280396,28.275296694037387,36.306483859304784,-33.76602283963444,0.0,28.275296694037387,6.22339813893511,25.344402436618864,31.110864525277005,0.0,,
1,gex_norm,high,0.8,0.5,0.007646964248546,-0.0044853470106513,5,30,0.1,1.5,True,9.009581547527878,7.601625231861142,57.89836288137855,34,67.64705882352942,1.2173796082270474,0.16683222686459512,-27.583905761981242,48.58799879235938,14.64030735571917,12.351103390302764,-8.28466300162406,26.72744855457806,-48.60668352301064,53.63369900669248,-8.28466300162406,28.633101528046858,2.339664962909671,3.2217850558229344,9.349206597044502,,
1,gex_norm,high,0.8,0.5,0.007646964248546,-0.0044853470106513,5,30,0.08,1.0,True,7.924573324677734,8.590617684404922,42.92491280728221,34,67.64705882352942,1.2077733377010555,0.16350968687911518,-16.89644801814374,30.669044938191313,9.92420662699093,8.184319968487852,-4.3002133100458195,18.051272653738035,-34.850196114274766,33.28936659284156,-4.3002133100458195,18.528928938687315,1.6829510787220059,2.1278567038819585,6.15879912926478,,
1,gex_norm,high,0.8,0.3,0.007646964248546,-0.04232090790124425,10,60,0.08,1.0,True,7.22738127344442,10.572085908633433,42.8131772612467,26,61.53846153846154,1.25872900394148,0.17922790762041166,-23.85934793504545,45.22082870305062,16.743650237561003,11.596302766515066,-8.904871326820818,21.9942894293343,-31.087851015900203,18.108190944940805,-8.904871326820818,36.081064587111086,-1.296256173560184,3.388660483300865,4.5742306611373795,,
1,atm_iv,high,0.8,0.5,53.06862562375165,30.722112899757928,5,30,0.08,1.0,True,6.908322467583167,10.125144617171022,30.049185844724718,11,63.63636363636363,1.3663501735456203,0.17869020173627323,-16.05594154276804,31.188730496367256,12.351141191004086,8.310674896330262,-4.8729865078182,29.91417324732419,-11.755814278631727,0.0,-4.8729865078182,0.0,18.853268816780155,10.378731525342388,0.0,,
