phase,signal,direction,entry_q,exit_q,min_hold,max_hold,stop,lev,side,train_cagr,train_dd,train_wr,train_pf,train_n,test_cagr,test_dd,test_wr,test_pf,test_n,test_tot,train_tot,score
1-single,straddle_move_pct,low,0.25,0.7,30,180,0.03,3.0,long,37.66654277566728,32.309693673770006,50.0,3.8534028416678563,6,32.94396350747248,29.92099367000285,50.0,4.462892612509834,8,162.48181497985485,160.90669189813437,31.855405966459546
1-single,straddle_move_pct,low,0.25,0.7,30,90,0.03,3.0,long,37.61171719831946,32.434415166185076,57.14285714285714,3.7873302714467325,7,31.379506855223347,29.920993670002865,54.54545454545454,3.3294349726521233,11,152.16044337103125,160.59509845386094,30.348715029112665
1-single,straddle_move_pct,low,0.25,0.7,30,180,0.03,2.5,long,31.749984245183715,27.71507684206997,50.0,3.847301115052462,6,28.25015728123428,25.73458402128685,50.0,4.456068546384728,8,132.37865746991213,128.6923913955841,29.55143138150785
3-weighted,weighted>=0.2,-,-,-,10,90,0.05,2.5,long,32.13515475145927,50.65507956153281,51.61290322580645,2.007736993127958,31,27.589514934738403,27.39551504345086,53.333333333333336,2.1662429049233975,30,128.34695860029166,130.7040045292634,28.158302928749507
1-single,straddle_move_pct,low,0.25,0.7,30,90,0.03,2.5,long,31.702482670559085,27.82316652829504,57.14285714285714,3.7810315346532253,7,26.803644475937105,25.73458402128684,54.54545454545454,3.3242742980409137,11,123.6155463776516,128.44512003785357,28.04461314634865
3-weighted,weighted>=0.2,-,-,-,10,60,0.05,2.5,long,32.13515475145927,50.65507956153281,51.61290322580645,2.007736993127958,31,27.297221912646584,28.338849056401546,53.333333333333336,2.1608496343811274,30,126.57901957804127,130.7040045292634,27.528301689536725
1-single,straddle_move_pct,low,0.25,0.7,30,180,0.03,2.0,long,25.66793276011927,22.85264136012044,50.0,3.8381772377077255,6,23.240084358353364,21.278426616530307,50.0,4.445864353909572,8,103.0244768693771,98.4601946432735,27.06900783563635
1-single,straddle_move_pct,low,0.25,0.7,30,90,0.03,2.0,long,25.626800958412588,22.945785443681718,57.14285714285714,3.7716124303557113,7,21.943404091659403,21.2784266165303,54.54545454545454,3.316555298078123,11,95.87587707738628,98.26538709733505,25.565553491813343
3-weighted,weighted>=0.2,-,-,-,10,90,0.05,2.0,long,27.070299660340247,43.45867752754302,51.61290322580645,2.0015997436996633,31,22.418594179154503,22.32427088689961,53.333333333333336,2.1582747005425245,30,98.4746463114458,105.17864729304027,25.392358668480632
3-weighted,weighted>=0.2,-,-,-,10,60,0.05,2.0,long,27.070299660340247,43.45867752754302,51.61290322580645,2.0015997436996633,31,22.26094232695508,23.29732486424332,53.333333333333336,2.152985508435359,30,97.60978613182701,105.17864729304027,24.79731187022708
3-weighted,weighted>=0.2,-,-,-,10,90,0.1,2.5,long,34.34015604534044,56.175366778527014,54.83870967741935,2.0499094563800493,31,25.51200617538747,31.965901365698155,51.724137931034484,2.1401311209230585,29,115.98988818304719,142.4474079074883,24.45161197698063
1-single,straddle_move_pct,low,0.25,0.7,30,180,0.03,1.5,long,19.4298127205194,17.701584302607145,50.0,3.8230468634487487,6,17.906120780678968,16.52663368306103,50.0,4.428941922235565,8,74.75465167907456,70.3484765022962,24.39566427568318
3-weighted,weighted>=0.2,-,-,-,10,60,0.1,2.5,long,34.34015604534044,56.175366778527014,54.83870967741935,2.0499094563800493,31,25.119505118763243,31.96590136569816,50.0,2.083519889410142,30,113.70942312376164,142.4474079074883,24.075425036951216
3-weighted,weighted>=0.2,-,-,-,10,90,-1.0,2.5,long,43.7354883608521,36.484554773077775,56.666666666666664,2.4481962153108605,30,25.51200617538747,31.965901365698155,51.724137931034484,2.1401311209230585,29,115.98988818304719,196.95594669328892,23.653634714276144
3-weighted,weighted>=0.2,-,-,-,10,60,-1.0,2.5,long,43.7354883608521,36.484554773077775,56.666666666666664,2.4481962153108605,30,25.119505118763243,31.96590136569816,50.0,2.083519889410142,30,113.70942312376164,196.95594669328892,23.28972461820092
3-weighted,weighted>=0.2,-,-,-,20,120,0.05,2.5,long,23.75132505712012,56.98833392744716,38.46153846153847,2.0678327086076944,26,24.057419528243052,39.13278815503016,61.904761904761905,2.383555019820193,21,107.62377094525615,89.51761110494951,23.11272976936319
3-vote,vote>=1/5,-,-,-,10,90,0.05,2.5,long,20.94267018272722,76.4534948239988,52.77777777777778,1.5616540898666476,36,24.771085942974548,39.31205988894472,51.28205128205128,1.8246241598086843,39,111.69934488977238,76.90440953224868,22.913925692391032
1-single,straddle_move_pct,low,0.25,0.7,30,90,0.03,1.5,long,19.394379093041493,17.78191694532391,57.14285714285714,3.755990785597134,7,16.806166488660914,16.526633683061032,54.54545454545454,3.303748663806267,11,69.29105103002809,70.19689942976255,22.90496561115598
3-weighted,weighted>=0.2,-,-,-,10,90,0.05,1.5,long,21.232894561992577,35.23769892187801,51.61290322580645,1.991425264876352,31,16.98351528972417,17.488027815480333,53.333333333333336,2.145079295370513,30,70.1637033936378,78.18101295539259,22.2026079706405
3-weighted,weighted>=0.2,-,-,-,10,90,0.1,2.0,long,29.173106708074293,48.20526894024469,54.83870967741935,2.044086167031235,31,20.81419823805557,26.11734111339424,51.724137931034484,2.132109276467078,29,89.79671739161745,115.53426081903284,21.943953292066546
3-weighted,weighted>=0.2,-,-,-,10,60,0.05,1.5,long,21.232894561992577,35.23769892187801,51.61290322580645,1.991425264876352,31,16.923691429150935,17.96957052563648,53.333333333333336,2.1399615018573455,30,69.86898398887095,78.18101295539259,21.86507085717164
3-vote,vote>=2/5,-,-,-,10,90,0.05,2.5,long,13.640890067087398,62.56979099085228,48.64864864864865,1.586943958403894,37,21.92315480010114,28.563031436358994,59.375,2.017433894910837,32,95.76567147773687,46.758707992562584,21.74800650562203
3-weighted,weighted>=0.2,-,-,-,10,60,0.1,2.0,long,29.173106708074293,48.20526894024469,54.83870967741935,2.044086167031235,31,20.589150004816048,26.117341113394232,50.0,2.0757364814031343,30,88.60125167500775,115.53426081903284,21.70668986917664
1-single,straddle_move_pct,low,0.25,0.7,30,180,0.03,1.0,long,13.045484487454617,12.237092921233252,50.0,3.793068252518905,6,12.239120726784702,11.449680725914252,50.0,4.395410617891223,8,47.8881279133601,44.46400756913089,21.499988267099347
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,20,90,0.05,2.0,long,3.731819683688231,51.26079150124779,42.857142857142854,1.1004463617022229,14,22.652024473992547,24.270699065946292,64.28571428571429,4.086800801893704,14,99.76011377668132,11.618450506140633,21.48281445652754
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,20,120,0.05,2.0,long,3.731819683688231,51.26079150124779,42.857142857142854,1.1004463617022229,14,22.652024473992547,24.270699065946292,64.28571428571429,4.086800801893704,14,99.76011377668132,11.618450506140633,21.48281445652754
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,20,120,-1.0,2.0,long,3.5791286488019436,55.718815542784235,42.857142857142854,1.0987583437714277,14,22.652024473992547,24.270699065946292,64.28571428571429,4.086800801893704,14,99.76011377668132,11.126275724685808,21.449110838764454
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,20,90,-1.0,2.0,long,3.5791286488019436,55.718815542784235,42.857142857142854,1.0987583437714277,14,22.652024473992547,24.270699065946292,64.28571428571429,4.086800801893704,14,99.76011377668132,11.126275724685808,21.449110838764454
3-vote,vote>=1/5,-,-,-,10,60,0.05,2.5,long,21.30292999946153,76.4518073355055,51.28205128205128,1.5660064775193643,39,22.14198949704398,40.72450593378075,52.5,1.741644617623326,40,96.95898537826643,78.48999334354008,21.318540845270846
3-vote,vote>=1/5,-,-,-,10,90,0.05,2.0,long,19.794963004584698,68.50025286128535,52.77777777777778,1.5579761622757666,36,20.501155097352488,32.9805809856415,51.28205128205128,1.8178265905915336,39,88.13526592172695,71.91575276392854,21.294474433248766
3-weighted,weighted>=0.2,-,-,-,10,90,-1.0,2.0,long,36.2667024028281,30.495899881629803,56.666666666666664,2.440754457629694,30,20.81419823805557,26.11734111339424,51.724137931034484,2.132109276467078,29,89.79671739161745,153.0283823008757,21.246194409839823
3-weighted,weighted>=0.2,-,-,-,10,60,-1.0,2.0,long,36.2667024028281,30.495899881629803,56.666666666666664,2.440754457629694,30,20.589150004816048,26.117341113394232,50.0,2.0757364814031343,30,88.60125167500775,153.0283823008757,21.016475327686774
1-single,straddle_move_pct,low,0.25,0.7,30,120,0.03,3.0,long,37.428593343482454,32.397815512390885,42.857142857142854,3.6353566214956423,7,23.717521065208548,41.82922562701051,44.44444444444444,2.8691582989420574,9,105.70227678433338,159.55613816371695,20.697213517904054
3-vote,vote>=2/5,-,-,-,10,60,0.05,2.5,long,13.640890067087398,62.56979099085228,48.64864864864865,1.586943958403894,37,21.004375459630765,30.371006107825593,55.88235294117647,1.8383196760481186,34,90.8111026782632,46.758707992562584,20.66527221315078
3-weighted,weighted>=0.2,-,-,-,20,120,0.05,2.0,long,21.165364556476042,49.32399875575636,38.46153846153847,2.062055560036525,26,19.485924924089403,32.61747193673865,61.904761904761905,2.3759105985564433,21,82.81754561915145,77.88342383295269,20.320295816490734
3-vote,vote>=2/5,-,-,-,10,90,0.05,2.0,long,13.284986308894009,54.180853923996004,48.64864864864865,1.5824163867458574,37,17.699987445315713,23.69524617666843,59.375,2.008746933240774,32,73.72143636224409,45.384152631012256,20.072664835186064
1-single,straddle_move_pct,low,0.25,0.7,30,90,0.03,1.0,long,13.015332145736892,12.30723870761287,57.14285714285714,3.725032574120257,7,11.39932320992334,11.449680725914247,54.54545454545454,3.2783520449253314,11,44.17161411580957,44.348440820066834,20.034870297259676
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,10,90,0.05,2.0,long,17.68823681176739,33.09750471761838,40.0,1.9116365094072807,15,17.938190064557503,29.413543978910756,57.89473684210527,3.370176787135785,19,74.9157830391552,63.00434052840031,19.998040016444634
2-pair,max_pain_dist_pct+pc_vol_ratio/AND,-,0.3/0.15,0.5/0.8,10,120,0.05,2.0,long,17.68823681176739,33.09750471761838,40.0,1.9116365094072807,15,17.938190064557503,29.413543978910756,57.89473684210527,3.370176787135785,19,74.9157830391552,63.00434052840031,19.998040016444634
1-single,fiz_lsr_contra,low,0.25,0.8,20,90,0.07,3.0,long,17.803478156901264,61.32907828812936,40.0,2.307295763499032,10,18.460915993707474,32.088628371696885,75.0,13.748516672293773,4,77.55699774705526,63.48365537557663,19.80549815773326
2-pair,gex_norm+fiz_lsr_contra/S1eS2x,-,0.25/0.25,0.6/0.8,10,90,-1.0,2.0,long,8.451008103279056,45.003968135989126,38.88888888888889,1.672324232912923,18,17.000763870666802,19.382031462990795,63.63636363636363,5.765227010031545,11,70.24874460664836,27.555967158092475,19.75726540929565
1-single,fiz_lsr_contra,low,0.25,0.8,30,90,0.15,3.0,long,17.618905660893212,72.52764010641806,62.5,3.4317768627315455,8,18.460915993707474,32.088628371696885,75.0,13.748516672293773,4,77.55699774705526,62.716428436433326,19.755508087882184
1-single,fiz_lsr_contra,low,0.25,0.8,30,90,-1.0,3.0,long,17.618905660893212,72.52764010641806,62.5,3.4317768627315455,8,18.460915993707474,32.088628371696885,75.0,13.748516672293773,4,77.55699774705526,62.716428436433326,19.755508087882184
1-single,straddle_move_pct,low,0.25,0.7,30,120,0.03,2.5,long,31.589568203140384,27.79905893106443,42.857142857142854,3.6285788773821266,7,20.960243561827507,36.06158930000237,44.44444444444444,2.8654741120636347,9,90.57536809519308,127.85805478624792,19.610057254475155
1-single,max_pain_dist_pct,low,0.3,0.5,5,180,0.05,3.0,long,9.345202708289492,71.7539794964389,36.84210526315789,1.5229187369731192,19,24.483999800682366,45.15383628926653,57.14285714285714,1.9252925022887615,35,110.05315026890399,30.737206819312,19.572782541474616
1-single,max_pain_dist_pct,low,0.3,0.5,5,120,0.05,3.0,long,9.345202708289492,71.7539794964389,36.84210526315789,1.5229187369731192,19,24.483999800682366,45.15383628926653,57.14285714285714,1.9252925022887615,35,110.05315026890399,30.737206819312,19.572782541474616
1-single,straddle_move_pct,low,0.25,0.7,30,60,0.03,3.0,long,35.962307248730085,40.38519304804639,44.44444444444444,3.4154661912540383,9,22.40038150649173,43.097543715871446,38.46153846153847,2.3635268646351384,13,98.3745976035366,151.33650842273303,19.512216226229786
3-vote,vote>=2/5,-,-,-,10,90,0.1,2.5,long,28.53747358943648,54.85004539003123,55.55555555555556,1.9843324482355538,36,20.227335741428988,35.20724592211476,58.06451612903226,2.0160620286206457,31,86.69042057819809,112.36809862301894,19.40288294159414
3-vote,vote>=2/5,-,-,-,10,60,0.05,2.0,long,13.284986308894009,54.180853923996004,48.64864864864865,1.5824163867458574,37,17.188879400022493,24.812344246212483,55.88235294117647,1.8310869100567513,34,71.1781625624492,45.384152631012256,19.38640440390225
1-single,pc_vol_ratio,high,0.15,0.8,20,30,0.03,3.0,long,12.213413285176976,72.68338479634464,40.74074074074074,1.2522900180251448,27,23.63980284315319,47.70642163240283,55.55555555555556,1.843510897880867,27,105.26469203231667,41.29744816651149,19.35839861060028
