iss_code,title,date_from,date_till,works,records
AED,Фьючерсный контракт на курс  дирхам ОАЭ– российский рубль,2023-04-04,2025-11-28,True,2
AFKS,Фьючерсный контракт на обыкновенные акции ПАО «Акционерная финансовая корпорация «Система»,2022-06-24,2025-11-28,True,2
AFLT,"Фьючерсный контракт на обыкновенные акции ПАО ""Аэрофлот""",2022-06-24,2025-11-28,True,2
AFRICA,Фьючерсный контракт на акции инвестиционного фонда MSCI South Africa ETF,2025-10-28,2025-11-28,True,2
ALIBABA,Фьючерсный контракт на американские депозитарные расписки на акции Алибаба Груп Холдинг Лимитед,2024-05-22,2025-11-28,True,2
ALRS,"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",2022-06-24,2025-11-28,True,2
ALUM,Фьючерсный контракт на алюминий,2024-10-08,2025-11-28,True,2
AMD,Фьючерсный контракт на курс  армянский драм – российский рубль,2023-05-11,2025-11-28,True,1
ARGT,Фьючерсный контракт на акции инвестиционного фонда MSCI Argentina ETF,2025-10-28,2025-11-28,True,2
ASTR,Фьючерсный контракт на обыкновенные акции ПАО Группа Астра,2023-12-12,2025-11-28,True,2
AUDU,Фьючерсный контракт на курс австралийский доллар – доллар США,2022-06-24,2025-11-28,True,2
BAIDU,Фьючерсный контракт на американские депозитарные расписки на акции Байду Инк.,2024-05-22,2025-11-28,True,2
BANE,"Фьючерсный контракт на обыкновенные акции ПАО АНК ""Башнефть""",2023-08-22,2025-11-28,True,2
BELUGA,"Фьючерсный контракт на обыкновенные акции ПАО ""НоваБев Групп""",2024-12-24,2025-11-28,True,2
BR,Фьючерсный контракт на нефть Брэнт,2022-06-24,2025-11-28,True,2
BRAZIL,Фьючерсный контракт на акции инвестиционного фонда MSCI Brazil ETF,2025-10-28,2025-11-28,True,2
BRM,Фьючерсный контракт на нефть Брэнт (мини),2024-12-02,2025-11-28,True,2
BSPB,Фьючерсный контракт на обыкновенные акции ПАО «Банк «Санкт-Петербург»,2023-08-22,2025-11-28,True,2
BTC,Фьючерсный контракт на Индекс МосБиржи Биткоина,2025-11-18,2025-11-28,True,2
BYN,Фьючерсный контракт на курс белорусский рубль - российский рубль,2024-02-14,2025-11-28,True,1
CBOM,"Фьючерсный контракт на обыкновенные акции ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",2023-08-22,2025-11-28,True,2
CHINA,Фьючерсный контракт на акции инвестиционного фонда MSCI China ETF,2025-10-28,2025-11-28,True,2
CHMF,Фьючерсный контракт на обыкновенные акции ПАО «Северсталь»,2022-06-24,2025-11-28,True,2
CNI,Фьючерсный контракт на Индекс Потребительского сектора,2022-06-24,2025-11-28,True,2
CNY,Фьючерсный контракт на курс китайский юань – российский рубль,2022-06-24,2025-11-28,True,2
CNYRUBTOM,Однодневный фьючерсный контракт с автопролонгацией на курс китайский юань - российский рубль,2022-06-24,2025-11-28,True,2
COCOA,Фьючерсный контракт на какао,2024-09-24,2025-11-28,True,2
COFFEE,Фьючерсный контракт на кофе,2025-05-20,2025-11-28,True,2
COPPER,Фьючерсный контракт на медь,2024-10-08,2025-11-28,True,2
DAX,Фьючерсный контракт на инвестиционные паи iShares Core DAX UCITS ETF (DE),2023-02-07,2025-11-28,True,2
